alpha,delta,id,diameter
264.49999999999994,-21.611666666666668,LDN172,10.0
264.74999999999994,-21.69388888888889,LDN174,8.5
272.525,-25.822777777777777,LDN176,33.0
259.57916666666665,-18.51861111111111,LDN175,8.0
260.7333333333333,-19.213055555555556,B259 / LDN177,20.0
262.9916666666666,-20.535555555555558,B268 / LDN178,60.0
260.9833333333333,-19.29527777777778,LDN179,13.0
269.31249999999994,-24.038333333333334,FeSt1-470,69.0
270.19166666666666,-24.500833333333333,FeSt1-471,60.0
264.42499999999995,-21.28666666666667,B80,3.0
277.78749999999997,-28.080833333333334,LDN181,5.5
263.2416666666667,-20.534444444444446,LDN182,63.0
238.47916666666663,-3.1469444444444443,MBM37,75.0
238.47499999999997,-3.1466666666666665,LDN183 / LDN184,30.0
262.9916666666666,-20.285555555555558,LDN185,20.0
273.0208333333333,-25.736944444444447,LDN187,50.0
266.0,-22.02111111111111,LDN186,33.0
271.14166666666665,-24.754444444444445,LDN180 / FeSt1-472,120.0
268.25833333333327,-23.176944444444445,LDN188,33.0
272.8458333333333,-25.52111111111111,FeSt2-324,6.0
271.01666666666665,-24.533333333333335,B296,4.0
265.74999999999994,-21.68888888888889,LDN189,46.0
251.95833333333334,-12.881666666666668,LM206 / LDN191-2,2.0
252.07499999999996,-12.920555555555556,LDN190,9.0
248.77083333333331,-10.569166666666666,IREC4,493.0
262.73749999999995,-19.786944444444448,LDN192,32.0
263.9916666666666,-20.530833333333334,LDN193,19.0
251.94999999999996,-12.754444444444445,LDN191,24.0
270.8125,-24.264444444444443,FeSt2-325,6.0
238.4958333333333,-2.825833333333333,MLB41 / LM148,7.0
273.2708333333333,-25.485833333333336,LDN194,34.0
251.94999999999996,-12.66638888888889,LM205 / LDN191-1,6.0
271.24583333333334,-24.380555555555556,B89,2.0
273.9708333333333,-25.732499999999998,B306 / LDN195,4.0
271.03749999999997,-24.279999999999998,FeSt1-473,48.0
272.51666666666665,-24.989444444444445,LDN196,3.0
273.2708333333333,-25.335833333333333,LDN197,7.0
273.39583333333326,-25.36861111111111,LDN198,6.0
272.9708333333333,-25.10388888888889,FeSt1-474,57.0
248.52499999999995,-10.053333333333335,G6.2+24.5,30.0
273.7708333333333,-25.45,LDN199,2.0
272.51666666666665,-24.822777777777777,LDN200,62.0
271.1458333333333,-24.1,B88,2.7
263.1166666666667,-19.65,B270,14.0
251.82916666666665,-12.325555555555555,LM202 / LDN204C-1,6.0
251.94583333333335,-12.38888888888889,LM204 / LDN204C-2,4.0
